Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
745.99639511654;0.18463134765625;0;1;1.44042968749999E-05;10 mA;WE(1).Potential > 0,85 V , WE(1).Potential > 0,85 V , WE(1).Potential > 0,85 V , WE(1).Potential > 0,85 V
746.196395116035;0.18707275390625;0.199999999495049;2;1.35498046875E-05;10 mA;
746.39639511553;0.18951416015625;0.399999998990097;3;1.52587890625E-05;10 mA;
746.596395115025;0.191864013671875;0.599999998485146;4;1.47399902343751E-05;10 mA;
746.79639511452;0.194122314453125;0.799999997980194;5;1.6357421875E-05;10 mA;
746.996395114015;0.196319580078125;0.999999997475243;6;1.666259765625E-05;10 mA;
747.19639511351;0.198394775390625;1.19999999697029;7;1.59912109375E-05;10 mA;
747.396395113005;0.200408935546875;1.39999999646534;8;1.33666992187501E-05;10 mA;
747.596395112501;0.202423095703125;1.59999999596039;9;1.63879394531249E-05;10 mA;
747.796395111996;0.204315185546875;1.79999999545544;10;1.4373779296875E-05;10 mA;
747.996395111491;0.2061767578125;1.99999999495049;11;1.5533447265625E-05;10 mA;
748.196395110986;0.2080078125;2.19999999444553;12;1.513671875E-05;10 mA;
748.396395110481;0.209808349609375;2.39999999394058;13;1.53503417968751E-05;10 mA;
748.596395109976;0.211578369140625;2.59999999343563;14;1.3427734375E-05;10 mA;
748.796395109471;0.21331787109375;2.79999999293068;15;1.44042968749999E-05;10 mA;
748.996395108966;0.21502685546875;2.99999999242573;16;1.41296386718751E-05;10 mA;
749.196395108461;0.2166748046875;3.19999999192078;17;1.44348144531251E-05;10 mA;
749.396395107956;0.218353271484375;3.39999999141583;18;1.35192871093751E-05;10 mA;
749.596395107451;0.219970703125;3.59999999091087;19;1.6815185546875E-05;10 mA;
749.796395106946;0.221588134765625;3.79999999040592;20;1.59912109375E-05;10 mA;
749.996395106441;0.22314453125;3.99999998990097;21;1.3458251953125E-05;10 mA;
750.196395105936;0.2247314453125;4.19999998939602;22;1.36718750000001E-05;10 mA;
750.396395105431;0.226287841796875;4.39999998889107;23;1.47399902343751E-05;10 mA;
750.596395104926;0.227813720703125;4.59999998838612;24;1.6326904296875E-05;10 mA;
750.796395104421;0.229339599609375;4.79999998788116;25;1.5289306640625E-05;10 mA;
750.996395103916;0.2308349609375;4.99999998737621;26;1.513671875E-05;10 mA;
751.196395103411;0.2322998046875;5.19999998687126;27;1.68457031249999E-05;10 mA;
751.396395102906;0.233795166015625;5.39999998636631;28;1.5533447265625E-05;10 mA;
751.596395102402;0.2352294921875;5.59999998586136;29;1.57775878906249E-05;10 mA;
751.796395101897;0.23663330078125;5.79999998535641;30;1.50146484374999E-05;10 mA;
751.996395101392;0.238037109375;5.99999998485146;31;1.678466796875E-05;10 mA;
752.196395100887;0.23944091796875;6.1999999843465;32;1.3916015625E-05;10 mA;
752.396395100382;0.240814208984375;6.39999998384155;33;1.568603515625E-05;10 mA;
752.596395099877;0.2421875;6.5999999833366;34;1.6632080078125E-05;10 mA;
752.796395099372;0.243560791015625;6.79999998283165;35;1.629638671875E-05;10 mA;
752.996395098867;0.244903564453125;6.9999999823267;36;1.7242431640625E-05;10 mA;
753.196395098362;0.246246337890625;7.19999998182175;37;1.46484375E-05;10 mA;
753.396395097857;0.24755859375;7.3999999813168;38;1.6448974609375E-05;10 mA;
753.596395097352;0.248870849609375;7.59999998081184;39;1.4495849609375E-05;10 mA;
753.796395096847;0.25018310546875;7.79999998030689;40;1.373291015625E-05;10 mA;
753.996395096342;0.251434326171875;7.99999997980194;41;1.3092041015625E-05;10 mA;
754.196395095837;0.25274658203125;8.19999997929699;42;1.33666992187501E-05;10 mA;
754.396395095332;0.253997802734375;8.39999997879204;43;1.59606933593751E-05;10 mA;
754.596395094827;0.2552490234375;8.59999997828709;44;1.4312744140625E-05;10 mA;
754.796395094322;0.256500244140625;8.79999997778214;45;1.361083984375E-05;10 mA;
754.996395093817;0.257720947265625;8.99999997727718;46;1.47399902343751E-05;10 mA;
755.196395093312;0.258941650390625;9.19999997677223;47;1.434326171875E-05;10 mA;
755.396395092807;0.260162353515625;9.39999997626728;48;1.6510009765625E-05;10 mA;
755.596395092302;0.2613525390625;9.59999997576233;49;1.55029296875001E-05;10 mA;
755.796395091798;0.262542724609375;9.79999997525738;50;1.61132812500001E-05;10 mA;
755.996395091293;0.26373291015625;9.99999997475243;51;1.6632080078125E-05;10 mA;
756.196395090788;0.264923095703125;10.1999999742475;52;1.495361328125E-05;10 mA;
756.396395090283;0.266082763671875;10.3999999737425;53;1.34887695312499E-05;10 mA;
756.596395089778;0.267242431640625;10.5999999732376;54;1.36718750000001E-05;10 mA;
756.796395089273;0.268402099609375;10.7999999727326;55;1.51672363281249E-05;10 mA;
756.996395088768;0.269561767578125;10.9999999722277;56;1.739501953125E-05;10 mA;
757.196395088263;0.27069091796875;11.1999999717227;57;1.47399902343751E-05;10 mA;
757.396395087758;0.271820068359375;11.3999999712178;58;1.54724121093749E-05;10 mA;
757.596395087253;0.27294921875;11.5999999707128;59;1.6632080078125E-05;10 mA;
757.796395086748;0.2740478515625;11.7999999702079;60;1.7059326171875E-05;10 mA;
757.996395086243;0.275146484375;11.9999999697029;61;1.57470703125E-05;10 mA;
758.196395085738;0.276275634765625;12.199999969198;62;1.33666992187501E-05;10 mA;
758.396395085233;0.277374267578125;12.399999968693;63;1.3427734375E-05;10 mA;
758.596395084728;0.2784423828125;12.5999999681881;64;1.41296386718751E-05;10 mA;
758.796395084223;0.279510498046875;12.7999999676831;65;1.73034667968749E-05;10 mA;
758.996395083718;0.28057861328125;12.9999999671782;66;1.5533447265625E-05;10 mA;
759.196395083213;0.2816162109375;13.1999999666732;67;1.6021728515625E-05;10 mA;
759.396395082708;0.28265380859375;13.3999999661683;68;1.5594482421875E-05;10 mA;
759.596395082203;0.28369140625;13.5999999656633;69;1.47399902343751E-05;10 mA;
759.796395081699;0.284759521484375;13.7999999651583;70;1.6632080078125E-05;10 mA;
759.996395081194;0.2857666015625;13.9999999646534;71;1.666259765625E-05;10 mA;
760.196395080689;0.28680419921875;14.1999999641484;72;1.3397216796875E-05;10 mA;
760.396395080184;0.287811279296875;14.3999999636435;73;1.3702392578125E-05;10 mA;
760.596395079679;0.288848876953125;14.5999999631385;74;1.3702392578125E-05;10 mA;
760.796395079174;0.289825439453125;14.7999999626336;75;1.48620605468749E-05;10 mA;
760.996395078669;0.29083251953125;14.9999999621286;76;1.33056640625E-05;10 mA;
761.196395078164;0.29180908203125;15.1999999616237;77;1.446533203125E-05;10 mA;
761.396395077659;0.292816162109375;15.3999999611187;78;1.373291015625E-05;10 mA;
761.596395077154;0.293792724609375;15.5999999606138;79;1.739501953125E-05;10 mA;
761.796395076649;0.29473876953125;15.7999999601088;80;1.5899658203125E-05;10 mA;
761.996395076144;0.29571533203125;15.9999999596039;81;1.300048828125E-05;10 mA;
762.196395075639;0.29669189453125;16.1999999590989;82;1.678466796875E-05;10 mA;
762.396395075134;0.297637939453125;16.399999958594;83;1.67236328125001E-05;10 mA;
762.596395074629;0.298583984375;16.599999958089;84;1.65710449218751E-05;10 mA;
762.796395074124;0.299560546875;16.7999999575841;85;1.4617919921875E-05;10 mA;
762.996395073619;0.300506591796875;16.9999999570791;86;1.76086425781249E-05;10 mA;
763.196395073114;0.301422119140625;17.1999999565742;87;1.28173828125E-05;10 mA;
763.396395072609;0.302337646484375;17.3999999560692;88;1.4373779296875E-05;10 mA;
763.596395072104;0.303253173828125;17.5999999555643;89;1.5380859375E-05;10 mA;
763.796395071599;0.304168701171875;17.7999999550593;90;1.727294921875E-05;10 mA;
763.996395071095;0.30511474609375;17.9999999545544;91;1.35498046875E-05;10 mA;
764.19639507059;0.305999755859375;18.1999999540494;92;1.2847900390625E-05;10 mA;
