Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
401.786263985587;0.6573486328125;0;1;-2.19726562499994E-06;10 mA
401.986263985082;0.6549072265625;0.199999999495049;2;-2.13623046875E-06;10 mA
402.186263984577;0.65277099609375;0.399999998990097;3;-2.44140625E-06;10 mA
402.386263984072;0.6512451171875;0.599999998485146;4;-1.95312500000003E-06;10 mA
402.586263983567;0.6494140625;0.799999997980194;5;-2.34985351562494E-06;10 mA
402.786263983062;0.648193359375;0.999999997475243;6;-2.31933593749997E-06;10 mA
402.986263982557;0.64666748046875;1.19999999697029;7;-2.13623046875E-06;10 mA
403.186263982053;0.64544677734375;1.39999999646534;8;-2.31933593749997E-06;10 mA
403.386263981548;0.64422607421875;1.59999999596039;9;-2.44140625E-06;10 mA
403.586263981043;0.64300537109375;1.79999999545544;10;-2.50244140624994E-06;10 mA
403.786263980538;0.64208984375;1.99999999495049;11;-2.07519531250006E-06;10 mA
403.986263980033;0.640869140625;2.19999999444553;12;-2.07519531250006E-06;10 mA
404.186263979528;0.63995361328125;2.39999999394058;13;-2.50244140624994E-06;10 mA
404.386263979023;0.6390380859375;2.59999999343563;14;-2.13623046875E-06;10 mA
404.586263978518;0.6378173828125;2.79999999293068;15;-2.38037109375006E-06;10 mA
404.786263978013;0.63690185546875;2.99999999242573;16;-2.92968749999997E-06;10 mA
404.986263977508;0.635986328125;3.19999999192078;17;-2.41088867187503E-06;10 mA
405.186263977003;0.63507080078125;3.39999999141583;18;-2.41088867187503E-06;10 mA
405.386263976498;0.6341552734375;3.59999999091087;19;-2.74658203125E-06;10 mA
405.586263975993;0.63323974609375;3.79999999040592;20;-2.47192382812497E-06;10 mA
405.786263975488;0.63232421875;3.99999998990097;21;-2.53295898437506E-06;10 mA
405.986263974983;0.6317138671875;4.19999998939602;22;-2.53295898437506E-06;10 mA
406.186263974478;0.63079833984375;4.39999998889107;23;-2.83813476562506E-06;10 mA
406.386263973973;0.6298828125;4.59999998838612;24;-2.10571289062503E-06;10 mA
406.586263973468;0.6292724609375;4.79999998788116;25;-2.47192382812497E-06;10 mA
406.786263972963;0.62835693359375;4.99999998737621;26;-2.34985351562494E-06;10 mA
406.986263972458;0.62744140625;5.19999998687126;27;-2.288818359375E-06;10 mA
407.186263971954;0.6268310546875;5.39999998636631;28;-2.50244140624994E-06;10 mA
407.386263971449;0.62591552734375;5.59999998586136;29;-2.50244140624994E-06;10 mA
407.586263970944;0.62530517578125;5.79999998535641;30;-2.31933593749997E-06;10 mA
407.786263970439;0.62469482421875;5.99999998485146;31;-2.62451171874997E-06;10 mA
407.986263969934;0.623779296875;6.1999999843465;32;-2.19726562499994E-06;10 mA
408.186263969429;0.6231689453125;6.39999998384155;33;-2.47192382812497E-06;10 mA
408.386263968924;0.62225341796875;6.5999999833366;34;-2.41088867187503E-06;10 mA
408.586263968419;0.62164306640625;6.79999998283165;35;-2.288818359375E-06;10 mA
408.786263967914;0.6207275390625;6.9999999823267;36;-2.47192382812497E-06;10 mA
408.986263967409;0.6201171875;7.19999998182175;37;-2.50244140624994E-06;10 mA
409.186263966904;0.6195068359375;7.3999999813168;38;-2.44140625E-06;10 mA
409.386263966399;0.61859130859375;7.59999998081184;39;-2.16674804687497E-06;10 mA
409.586263965894;0.61798095703125;7.79999998030689;40;-2.19726562499994E-06;10 mA
409.786263965389;0.61737060546875;7.99999997980194;41;-2.34985351562494E-06;10 mA
409.986263964884;0.61676025390625;8.19999997929699;42;-2.01416015624997E-06;10 mA
410.186263964379;0.6158447265625;8.39999997879204;43;-2.56347656250003E-06;10 mA
410.386263963874;0.615234375;8.59999997828709;44;-2.22778320312506E-06;10 mA
410.586263963369;0.6146240234375;8.79999997778214;45;-2.19726562499994E-06;10 mA
410.786263962864;0.614013671875;8.99999997727718;46;-2.65502929687494E-06;10 mA
410.986263962359;0.6134033203125;9.19999997677223;47;-2.44140625E-06;10 mA
411.186263961854;0.61279296875;9.39999997626728;48;-2.44140625E-06;10 mA
411.38626396135;0.61187744140625;9.59999997576233;49;-2.31933593749997E-06;10 mA
411.586263960845;0.61126708984375;9.79999997525738;50;-2.25830078125003E-06;10 mA
411.78626396034;0.61065673828125;9.99999997475243;51;-2.62451171874997E-06;10 mA
411.986263959835;0.61004638671875;10.1999999742475;52;-2.68554687500006E-06;10 mA
412.18626395933;0.60943603515625;10.3999999737425;53;-2.62451171874997E-06;10 mA
412.386263958825;0.60882568359375;10.5999999732376;54;-2.47192382812497E-06;10 mA
412.58626395832;0.60821533203125;10.7999999727326;55;-2.68554687500006E-06;10 mA
412.786263957815;0.60760498046875;10.9999999722277;56;-2.34985351562494E-06;10 mA
412.98626395731;0.60699462890625;11.1999999717227;57;-2.50244140624994E-06;10 mA
413.186263956805;0.60638427734375;11.3999999712178;58;-2.50244140624994E-06;10 mA
413.3862639563;0.60577392578125;11.5999999707128;59;-2.50244140624994E-06;10 mA
413.586263955795;0.60516357421875;11.7999999702079;60;-2.19726562499994E-06;10 mA
413.78626395529;0.60455322265625;11.9999999697029;61;-2.288818359375E-06;10 mA
413.986263954785;0.60394287109375;12.199999969198;62;-2.38037109375006E-06;10 mA
414.18626395428;0.60333251953125;12.399999968693;63;-2.47192382812497E-06;10 mA
414.386263953775;0.60272216796875;12.5999999681881;64;-2.50244140624994E-06;10 mA
414.58626395327;0.60211181640625;12.7999999676831;65;-2.56347656250003E-06;10 mA
414.786263952765;0.60150146484375;12.9999999671782;66;-2.38037109375006E-06;10 mA
