Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
406.037229974855;0.833740234375;0;1;-4.39453125000003E-06;10 mA
406.23722997435;0.82977294921875;0.199999999495049;2;-4.45556640624997E-06;10 mA
406.437229973845;0.82672119140625;0.399999998990097;3;-4.54711914062503E-06;10 mA
406.63722997334;0.82427978515625;0.599999998485146;4;-4.69970703125003E-06;10 mA
406.837229972835;0.82183837890625;0.799999997980194;5;-4.730224609375E-06;10 mA
407.03722997233;0.82000732421875;0.999999997475243;6;-4.57763671875E-06;10 mA
407.237229971825;0.81817626953125;1.19999999697029;7;-4.60815429687497E-06;10 mA
407.43722997132;0.81634521484375;1.39999999646534;8;-4.45556640624997E-06;10 mA
407.637229970815;0.8148193359375;1.59999999596039;9;-4.730224609375E-06;10 mA
407.83722997031;0.81329345703125;1.79999999545544;10;-4.48608398437494E-06;10 mA
408.037229969805;0.811767578125;1.99999999495049;11;-4.85229492187503E-06;10 mA
408.2372299693;0.81024169921875;2.19999999444553;12;-4.57763671875E-06;10 mA
408.437229968795;0.80902099609375;2.39999999394058;13;-4.54711914062503E-06;10 mA
408.63722996829;0.8074951171875;2.59999999343563;14;-4.57763671875E-06;10 mA
408.837229967785;0.8062744140625;2.79999999293068;15;-4.57763671875E-06;10 mA
409.03722996728;0.8050537109375;2.99999999242573;16;-4.33349609374994E-06;10 mA
409.237229966775;0.8038330078125;3.19999999192078;17;-4.57763671875E-06;10 mA
409.43722996627;0.8026123046875;3.39999999141583;18;-4.33349609374994E-06;10 mA
409.637229965765;0.8013916015625;3.59999999091087;19;-4.82177734375006E-06;10 mA
409.83722996526;0.8001708984375;3.79999999040592;20;-4.60815429687497E-06;10 mA
410.037229964756;0.7989501953125;3.99999998990097;21;-4.57763671875E-06;10 mA
410.237229964251;0.79803466796875;4.19999998939602;22;-4.82177734375006E-06;10 mA
410.437229963746;0.79681396484375;4.39999998889107;23;-4.82177734375006E-06;10 mA
410.637229963241;0.7958984375;4.59999998838612;24;-4.48608398437494E-06;10 mA
410.837229962736;0.794677734375;4.79999998788116;25;-4.425048828125E-06;10 mA
411.037229962231;0.79376220703125;4.99999998737621;26;-4.15039062499997E-06;10 mA
411.237229961726;0.7928466796875;5.19999998687126;27;-4.60815429687497E-06;10 mA
411.437229961221;0.7916259765625;5.39999998636631;28;-4.76074218749997E-06;10 mA
411.637229960716;0.79071044921875;5.59999998586136;29;-4.30297851562497E-06;10 mA
411.837229960211;0.789794921875;5.79999998535641;30;-4.119873046875E-06;10 mA
412.037229959706;0.78887939453125;5.99999998485146;31;-4.425048828125E-06;10 mA
412.237229959201;0.78765869140625;6.1999999843465;32;-4.60815429687497E-06;10 mA
412.437229958696;0.7867431640625;6.39999998384155;33;-4.60815429687497E-06;10 mA
412.637229958191;0.78582763671875;6.5999999833366;34;-4.54711914062503E-06;10 mA
412.837229957686;0.784912109375;6.79999998283165;35;-4.54711914062503E-06;10 mA
413.037229957181;0.78399658203125;6.9999999823267;36;-4.69970703125003E-06;10 mA
413.237229956676;0.7830810546875;7.19999998182175;37;-4.82177734375006E-06;10 mA
413.437229956171;0.78216552734375;7.3999999813168;38;-4.85229492187503E-06;10 mA
413.637229955666;0.78125;7.59999998081184;39;-4.85229492187503E-06;10 mA
413.837229955161;0.7806396484375;7.79999998030689;40;-4.51660156250006E-06;10 mA
414.037229954656;0.77972412109375;7.99999997980194;41;-4.57763671875E-06;10 mA
414.237229954152;0.77880859375;8.19999997929699;42;-4.66918945312506E-06;10 mA
414.437229953647;0.77789306640625;8.39999997879204;43;-4.66918945312506E-06;10 mA
414.637229953142;0.7769775390625;8.59999997828709;44;-4.39453125000003E-06;10 mA
414.837229952637;0.7763671875;8.79999997778214;45;-4.60815429687497E-06;10 mA
415.037229952132;0.77545166015625;8.99999997727718;46;-4.54711914062503E-06;10 mA
415.237229951627;0.7745361328125;9.19999997677223;47;-4.425048828125E-06;10 mA
415.437229951122;0.77392578125;9.39999997626728;48;-4.79125976562494E-06;10 mA
415.637229950617;0.77301025390625;9.59999997576233;49;-4.8828125E-06;10 mA
415.837229950112;0.7720947265625;9.79999997525738;50;-4.66918945312506E-06;10 mA
416.037229949607;0.771484375;9.99999997475243;51;-4.54711914062503E-06;10 mA
416.237229949102;0.77056884765625;10.1999999742475;52;-4.66918945312506E-06;10 mA
416.437229948597;0.7696533203125;10.3999999737425;53;-4.69970703125003E-06;10 mA
416.637229948092;0.76904296875;10.5999999732376;54;-4.730224609375E-06;10 mA
416.837229947587;0.76812744140625;10.7999999727326;55;-4.45556640624997E-06;10 mA
417.037229947082;0.76751708984375;10.9999999722277;56;-4.51660156250006E-06;10 mA
417.237229946577;0.7666015625;11.1999999717227;57;-4.51660156250006E-06;10 mA
417.437229946072;0.7659912109375;11.3999999712178;58;-4.48608398437494E-06;10 mA
417.637229945567;0.76507568359375;11.5999999707128;59;-5.00488281250003E-06;10 mA
417.837229945062;0.76446533203125;11.7999999702079;60;-4.33349609374994E-06;10 mA
418.037229944557;0.7635498046875;11.9999999697029;61;-4.51660156250006E-06;10 mA
418.237229944053;0.762939453125;12.199999969198;62;-4.63867187499994E-06;10 mA
418.437229943548;0.7623291015625;12.399999968693;63;-4.82177734375006E-06;10 mA
418.637229943043;0.76141357421875;12.5999999681881;64;-4.24194335937503E-06;10 mA
418.837229942538;0.76080322265625;12.7999999676831;65;-4.79125976562494E-06;10 mA
419.037229942033;0.7598876953125;12.9999999671782;66;-4.45556640624997E-06;10 mA
