Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A)
937.196426633806;0.83831787109375;0;1;-3.26538085937494E-06
937.396426633302;0.8331298828125;0.199999999495049;2;-4.94384765624994E-06
937.596426632797;0.828857421875;0.399999998990097;3;-3.90625000000006E-06
937.796426632292;0.82550048828125;0.599999998485146;4;-1.220703125E-06
937.996426631787;0.8221435546875;0.799999997980194;5;-4.51660156250006E-06
938.196426631282;0.81939697265625;0.999999997475243;6;-3.63159179687503E-06
938.396426630777;0.816650390625;1.19999999697029;7;-6.40869140624972E-07
938.596426630272;0.814208984375;1.39999999646534;8;-8.23974609374945E-07
938.796426629767;0.811767578125;1.59999999596039;9;-2.19726562499994E-06
938.996426629262;0.809326171875;1.79999999545544;10;-1.25122070312497E-06
939.196426628757;0.80718994140625;1.99999999495049;11;-2.68554687500006E-06
939.396426628252;0.8050537109375;2.19999999444553;12;-5.37109374999997E-06
939.596426627747;0.80322265625;2.39999999394058;13;-2.56347656250003E-06
939.796426627242;0.8013916015625;2.59999999343563;14;-5.79833984375028E-07
939.996426626737;0.79925537109375;2.79999999293068;15;-1.00708007812506E-06
940.196426626232;0.79742431640625;2.99999999242573;16;-5.06591796874997E-06
940.396426625727;0.79559326171875;3.19999999192078;17;-2.56347656250003E-06
940.596426625222;0.79376220703125;3.39999999141583;18;-3.35693359374972E-07
940.796426624717;0.792236328125;3.59999999091087;19;-1.95312500000003E-06
940.996426624212;0.7904052734375;3.79999999040592;20;-3.66210937499944E-07
941.196426623707;0.78887939453125;3.99999998990097;21;-4.36401367187506E-06
941.396426623203;0.78704833984375;4.19999998939602;22;-3.204345703125E-06
941.596426622698;0.7855224609375;4.39999998889107;23;-3.72314453124994E-06
941.796426622193;0.78399658203125;4.59999998838612;24;-5.27954101562506E-06
941.996426621688;0.782470703125;4.79999998788116;25;-2.74658203125E-06
942.196426621183;0.78125;4.99999998737621;26;-1.64794921875003E-06
942.396426620678;0.77972412109375;5.19999998687126;27;-3.11279296874994E-06
942.596426620173;0.7781982421875;5.39999998636631;28;-4.21142578125006E-06
942.796426619668;0.77667236328125;5.59999998586136;29;-3.26538085937494E-06
942.996426619163;0.775146484375;5.79999998535641;30;-4.57763671875E-06
943.196426618658;0.77392578125;5.99999998485146;31;-1.64794921875003E-06
943.396426618153;0.77239990234375;6.1999999843465;32;-1.19018554687503E-06
943.596426617648;0.77117919921875;6.39999998384155;33;-3.93676757812503E-06
943.796426617143;0.7696533203125;6.5999999833366;34;-2.44140625E-06
943.996426616638;0.7684326171875;6.79999998283165;35;-3.57055664062494E-06
944.196426616133;0.76690673828125;6.9999999823267;36;-1.983642578125E-06
944.396426615628;0.76568603515625;7.19999998182175;37;-4.24194335937503E-06
944.596426615123;0.76446533203125;7.3999999813168;38;-3.41796874999994E-06
944.796426614618;0.76324462890625;7.59999998081184;39;-4.57763671875E-06
944.996426614113;0.76202392578125;7.79999998030689;40;-1.58691406249994E-06
945.196426613608;0.760498046875;7.99999997980194;41;-3.02124023437503E-06
945.396426613103;0.75927734375;8.19999997929699;42;-5.27954101562506E-06
945.596426612599;0.758056640625;8.39999997879204;43;-5.18798828124944E-07
945.796426612094;0.75714111328125;8.59999997828709;44;-2.07519531250006E-06
945.996426611589;0.75592041015625;8.79999997778214;45;-4.02832031249994E-06
946.196426611084;0.75469970703125;8.99999997727718;46;-4.02832031249994E-06
946.396426610579;0.75347900390625;9.19999997677223;47;-1.34277343750003E-06
946.596426610074;0.75225830078125;9.39999997626728;48;-4.119873046875E-06
946.796426609569;0.75103759765625;9.59999997576233;49;-1.220703125E-06
946.996426609064;0.74981689453125;9.79999997525738;50;-2.96020507812494E-06
947.196426608559;0.74859619140625;9.99999997475243;51;-3.204345703125E-06
947.396426608054;0.74737548828125;10.1999999742475;52;-4.05883789062506E-06
947.596426607549;0.7464599609375;10.3999999737425;53;-3.17382812500003E-06
947.796426607044;0.7452392578125;10.5999999732376;54;-3.17382812500003E-06
947.996426606539;0.7440185546875;10.7999999727326;55;-4.15039062499997E-06
948.196426606034;0.74310302734375;10.9999999722277;56;-3.38745117187497E-06
948.396426605529;0.74188232421875;11.1999999717227;57;-3.17382812500003E-06
948.596426605024;0.74066162109375;11.3999999712178;58;-2.71606445312503E-06
948.796426604519;0.73974609375;11.5999999707128;59;-1.12915039062494E-06
948.996426604014;0.738525390625;11.7999999702079;60;-3.44848632812506E-06
949.196426603509;0.73760986328125;11.9999999697029;61;-1.31225585937506E-06
949.396426603004;0.73638916015625;12.199999969198;62;-3.41796874999994E-06
949.596426602499;0.7354736328125;12.399999968693;63;-5.06591796874997E-06
949.796426601995;0.7342529296875;12.5999999681881;64;-3.23486328124997E-06
949.99642660149;0.73333740234375;12.7999999676831;65;-1.983642578125E-06
950.196426600985;0.73211669921875;12.9999999671782;66;-4.45556640624997E-06
950.39642660048;0.731201171875;13.1999999666732;67;-4.60815429687497E-06
950.596426599975;0.72998046875;13.3999999661683;68;-1.58691406249994E-06
950.79642659947;0.72906494140625;13.5999999656633;69;-3.60107421875006E-06
950.996426598965;0.7281494140625;13.7999999651583;70;-3.11279296874994E-06
951.19642659846;0.7269287109375;13.9999999646534;71;-2.68554687500006E-06
951.396426597955;0.72601318359375;14.1999999641484;72;-3.44848632812506E-06
951.59642659745;0.72509765625;14.3999999636435;73;-1.983642578125E-06
951.796426596945;0.72418212890625;14.5999999631385;74;-4.91333007812497E-06
951.99642659644;0.7232666015625;14.7999999626336;75;-2.71606445312503E-06
